Médicos residentes (por mil habitantes)
Sigla;Código;Município;1991;2000;
AC;1200013;Acrelândia;0;0;
AC;1200054;Assis Brasil;0;0;
AC;1200104;Brasiléia;0;0,506;
AC;1200138;Bujari;0;0;
AC;1200179;Capixaba;0;0;
AC;1200203;Cruzeiro do Sul;0,156;0,528;
AC;1200252;Epitaciolândia;0;0;
AC;1200302;Feijó;0;0;
AC;1200328;Jordão;0;0;
AC;1200336;Mâncio Lima;0;0;
AC;1200344;Manoel Urbano;0;0;
AC;1200351;Marechal Thaumaturgo;0;0;
AC;1200385;Plácido de Castro;0;0,418;
AC;1200393;Porto Walter;0;0;
AC;1200401;Rio Branco;0,346;0,565;
AC;1200427;Rodrigues Alves;0;0,499;
AC;1200435;Santa Rosa do Purus;0;0;
AC;1200450;Senador Guiomard;0;0;
AC;1200500;Sena Madureira;0;0,489;
AC;1200609;Tarauacá;0;0;
AC;1200708;Xapuri;0;0,427;
AC;1200807;Porto Acre;0;0,474;
AL;2700102;Água Branca;0;0;
AL;2700201;Anadia;0;0,597;
AL;2700300;Arapiraca;0,288;0,564;
AL;2700409;Atalaia;0;0;
AL;2700508;Barra de Santo Antônio;0;0;
AL;2700607;Barra de São Miguel;0;0;
AL;2700706;Batalha;0;0,387;
AL;2700805;Belém;0;0,719;
AL;2700904;Belo Monte;0;0;
AL;2701001;Boca da Mata;0;0;
AL;2701100;Branquinha;0;0;
AL;2701209;Cacimbinhas;0,321;0,613;
AL;2701308;Cajueiro;0;0;
AL;2701357;Campestre;0;0;
AL;2701407;Campo Alegre;0;0;
AL;2701506;Campo Grande;0,527;0;
AL;2701605;Canapi;0;0;
AL;2701704;Capela;0;0,173;
AL;2701803;Carneiros;0;0;
AL;2701902;Chã Preta;0;0;
AL;2702009;Coité do Nóia;0;0,372;
AL;2702108;Colônia Leopoldina;0;0;
AL;2702207;Coqueiro Seco;0;0,531;
AL;2702306;Coruripe;0;0,198;
AL;2702355;Craíbas;0;0;
AL;2702405;Delmiro Gouveia;0,117;0,248;
AL;2702504;Dois Riachos;0;0;
AL;2702553;Estrela de Alagoas;0;0;
AL;2702603;Feira Grande;0,349;0;
AL;2702702;Feliz Deserto;0;0;
AL;2702801;Flexeiras;0;0;
AL;2702900;Girau do Ponciano;0;0;
AL;2703007;Ibateguara;0;0;
AL;2703106;Igaci;0;0;
AL;2703205;Igreja Nova;0;0;
AL;2703304;Inhapi;0;0;
AL;2703403;Jacaré dos Homens;0;0;
AL;2703502;Jacuípe;0;0;
AL;2703601;Japaratinga;0;0;
AL;2703700;Jaramataia;0;0;
AL;2703759;Jequiá da Praia;;;
AL;2703809;Joaquim Gomes;0;0;
AL;2703908;Jundiá;0;0;
AL;2704005;Junqueiro;0;0;
AL;2704104;Lagoa da Canoa;0;0;
AL;2704203;Limoeiro de Anadia;0;0;
AL;2704302;Maceió;2,618;2,392;
AL;2704401;Major Isidoro;0;0;
AL;2704500;Maragogi;0;0;
AL;2704609;Maravilha;0,611;0;
AL;2704708;Marechal Deodoro;0,434;0;
